lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
eldenpedia-sacred-tear-revision-99877-check-7772583	check	7772583	acquisition_identity	"{""anchor"":""Bellum Church"",""flag"":1036497000,""item_name"":""Sacred Tear"",""project_region"":""Liurnia"",""source_area"":""Liurnia of the Lakes""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:6	Eldenpedia revision 99877 lists a Sacred Tear at Bellum Church; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7772625	check	7772625	acquisition_identity	"{""anchor"":""Church of Inhibition"",""flag"":1037497100,""item_name"":""Sacred Tear"",""project_region"":""Liurnia"",""source_area"":""Liurnia of the Lakes""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:7	Eldenpedia revision 99877 lists a Sacred Tear at Church of Inhibition; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7772708	check	7772708	acquisition_identity	"{""anchor"":""Church of Irith"",""flag"":1039397000,""item_name"":""Sacred Tear"",""project_region"":""Liurnia"",""source_area"":""Liurnia of the Lakes""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:5	Eldenpedia revision 99877 lists a Sacred Tear at Church of Irith; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7772742	check	7772742	acquisition_identity	"{""anchor"":""Second Church of Marika"",""flag"":1039527400,""item_name"":""Sacred Tear"",""project_region"":""Altus"",""source_area"":""Altus Plateau""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:9	Eldenpedia revision 99877 lists a Sacred Tear at Second Church of Marika; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7772765	check	7772765	acquisition_identity	"{""anchor"":""Stormcaller Church"",""flag"":1040517400,""item_name"":""Sacred Tear"",""project_region"":""Altus"",""source_area"":""Altus Plateau""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:10	Eldenpedia revision 99877 lists a Sacred Tear at Stormcaller Church; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7772784	check	7772784	acquisition_identity	"{""anchor"":""Fourth Church of Marika"",""flag"":1041337200,""item_name"":""Sacred Tear"",""project_region"":""Weeping"",""source_area"":""Limgrave""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:3	Eldenpedia revision 99877 lists a Sacred Tear at Fourth Church of Marika; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7772879	check	7772879	acquisition_identity	"{""anchor"":""Church of Pilgrimage"",""flag"":1043357100,""item_name"":""Sacred Tear"",""project_region"":""Weeping"",""source_area"":""Limgrave""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:4	Eldenpedia revision 99877 lists a Sacred Tear at Church of Pilgrimage; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7772915	check	7772915	acquisition_identity	"{""anchor"":""Callu Baptismal Church"",""flag"":1044337100,""item_name"":""Sacred Tear"",""project_region"":""Weeping"",""source_area"":""Limgrave""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:2	Eldenpedia revision 99877 lists a Sacred Tear at Callu Baptismal Church; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7772956	check	7772956	acquisition_identity	"{""anchor"":""Third Church of Marika"",""flag"":1046387100,""item_name"":""Sacred Tear"",""project_region"":""Limgrave"",""source_area"":""Limgrave""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:1	Eldenpedia revision 99877 lists a Sacred Tear at Third Church of Marika; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
eldenpedia-sacred-tear-revision-99877-check-7773075	check	7773075	acquisition_identity	"{""anchor"":""Church of the Plague"",""flag"":1050387020,""item_name"":""Sacred Tear"",""project_region"":""Caelid"",""source_area"":""Caelid""}"	wiki:eldenpedia:page-13254:revision-99877	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-13254:revision-99877:#Acquisition:8	Eldenpedia revision 99877 lists a Sacred Tear at Church of the Plague; the unique linked church and committed ItemLot identity select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, or completeness; the AP Ruin-Strewn Precipice Sacred Tear is not listed in this revision.
