# AUTO-GENERATED by tools/build_check_maps.py -- DO NOT EDIT.
# One row per (check flag, PHYSICAL POSITION), map-granular. A check on N maps
# gets N rows: the model is one-to-many by design (Alaric 2026-07-25). Derived
# ONLY from committed tsvs -- no elden_ring_artifacts, runs anywhere.
# source=msb -> detail is event|treasure|enemy; source=merchant -> detail is the
# merchant, avail_* the ESD gate that makes THAT instance live (blank = unknown).
flag	map_id	source	detail	avail_flag	avail_sense
114	m14_00	msb	treasure		
171	m10_00	msb	event		
191	m34_10	msb	event		
192	m34_13	msb	event		
193	m34_14	msb	event		
194	m34_12	msb	event		
195	m34_14	msb	event		
196	m34_15	msb	event		
197	m14_00	msb	event		
9500	m11_05	msb	event		
9502	m12_03	msb	event		
9504	m35_00	msb	treasure		
60000	m18_00	msb	event		
60020	m11_10	merchant	Twin Maiden Husks		
60020	m60_46_38	msb	treasure		
60110	m11_10	merchant	Twin Maiden Husks		
60110	m60_42_36	msb	event		
60120	m11_00	merchant	npc:?	4705	1
60120	m11_10	merchant	Twin Maiden Husks		
60120	m35_00	merchant	npc:?	4705	1
60120	m60_42_36	merchant	Merchant Kalé	4705	1
60130	m11_10	merchant	Twin Maiden Husks		
60130	m60_42_37	msb	treasure		
60240	m60_42_40	msb	treasure		
60260	m16_00	msb	treasure		
60280	m11_10	merchant	Twin Maiden Husks		
60290	m11_10	merchant	Twin Maiden Husks		
60300	m11_10	msb	event		
60400	m60_45_33	msb	treasure		
60410	m60_34_43	msb	treasure		
60420	m60_35_47	msb	treasure		
60430	m60_34_50	msb	treasure		
60440	m14_00	msb	event		
60450	m60_37_53	msb	event		
60460	m60_52_41	msb	treasure		
60470	m11_10	merchant	Twin Maiden Husks		
60500	m11_10	merchant	Twin Maiden Husks		
60510	m10_00	msb	event		
60510	m11_00	msb	event		
60520	m11_00	msb	event		
62010	m60_42_37	msb	treasure		
62011	m60_44_32	msb	treasure		
62020	m60_38_41	msb	treasure		
62021	m60_37_44	msb	treasure		
62022	m60_34_48	msb	treasure		
62031	m60_42_51	msb	treasure		
62032	m60_36_54	msb	treasure		
62040	m60_49_37	msb	treasure		
62041	m60_49_40	msb	treasure		
62050	m60_49_53	msb	treasure		
62051	m60_52_54	msb	treasure		
62052	m60_48_56	msb	treasure		
62060	m12_01	msb	treasure		
62061	m12_01	msb	treasure		
62062	m12_05	msb	treasure		
62063	m12_02	msb	treasure		
62064	m12_03	msb	treasure		
62081	m61_48_45	msb	treasure		
62082	m61_48_37	msb	treasure		
62083	m61_46_45	msb	treasure		
62084	m61_52_41	msb	treasure		
65030	m60_44_53	msb	treasure		
65040	m60_33_43	msb	event		
65050	m60_52_56	msb	event		
65060	m60_41_53	msb	event		
65090	m60_43_33	msb	event		
65100	m60_47_40	msb	event		
65110	m60_51_40	msb	event		
65120	m60_44_53	msb	treasure		
65130	m60_50_57	msb	event		
65150	m60_49_37	msb	treasure		
65180	m60_37_54	msb	event		
65200	m60_52_54	msb	treasure		
65240	m60_43_34	msb	treasure		
65270	m60_39_52	msb	event		
65290	m60_38_48	msb	event		
65410	m61_48_46	msb	event		
65610	m10_00	msb	treasure		
65640	m60_51_36	msb	treasure		
65660	m11_00	msb	event		
65680	m14_00	msb	treasure		
65720	m12_02	msb	treasure		
66010	m10_00	msb	treasure		
66020	m10_00	msb	treasure		
66030	m11_00	merchant	npc:?	4705	1
66030	m11_10	merchant	Twin Maiden Husks		
66030	m35_00	merchant	npc:?	4705	1
66030	m60_42_36	merchant	Merchant Kalé	4705	1
66060	m11_10	merchant	Twin Maiden Husks		
66060	m60_00_00	merchant	npc:?	4980	1
66060	m60_44_39	merchant	Nomadic Merchant		
66070	m11_10	merchant	Twin Maiden Husks		
66070	m60_44_33	merchant	Nomadic Merchant		
66080	m60_39_44	msb	treasure		
66090	m60_39_44	msb	treasure		
66100	m60_39_44	msb	treasure		
66120	m14_00	msb	treasure		
66140	m30_13	msb	treasure		
66150	m30_13	msb	treasure		
66160	m30_13	msb	treasure		
66170	m30_13	msb	treasure		
66180	m11_10	merchant	Twin Maiden Husks		
66180	m60_49_37	merchant	Nomadic Merchant		
66410	m14_00	msb	treasure		
66430	m60_39_44	msb	treasure		
66440	m60_39_44	msb	treasure		
66450	m11_10	merchant	Twin Maiden Husks		
66450	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
66460	m11_10	merchant	Twin Maiden Husks		
66460	m60_48_41	merchant	Isolated Merchant		
66470	m30_13	msb	treasure		
66480	m30_13	msb	treasure		
66490	m35_00	msb	treasure		
66700	m16_00	msb	treasure		
66740	m60_36_52	msb	treasure		
66750	m11_10	merchant	Twin Maiden Husks		
66750	m60_43_53	merchant	Hermit Merchant		
66760	m60_39_51	msb	treasure		
66780	m31_18	msb	treasure		
66790	m60_48_38	msb	treasure		
66960	m61_50_44	msb	treasure		
66970	m61_50_44	msb	treasure		
66990	m61_47_37	msb	event		
67000	m11_00	merchant	npc:?	4705	1
67000	m11_10	merchant	Twin Maiden Husks		
67000	m35_00	merchant	npc:?	4705	1
67000	m60_42_36	merchant	Merchant Kalé	4705	1
67010	m11_10	merchant	Twin Maiden Husks		
67010	m60_00_00	merchant	npc:?	4980	1
67010	m60_44_39	merchant	Nomadic Merchant		
67020	m60_46_36	msb	treasure		
67030	m10_00	msb	treasure		
67050	m60_40_39	msb	treasure		
67060	m60_35_44	msb	treasure		
67080	m11_10	merchant	Twin Maiden Husks		
67080	m60_36_49	merchant	Nomadic Merchant		
67090	m60_49_54	msb	treasure		
67100	m11_10	merchant	Twin Maiden Husks		
67100	m12_02	merchant	Abandoned Merchant		
67110	m11_00	merchant	npc:?	4705	1
67110	m11_10	merchant	Twin Maiden Husks		
67110	m35_00	merchant	npc:?	4705	1
67110	m60_42_36	merchant	Merchant Kalé	4705	1
67120	m16_00	msb	treasure		
67130	m16_00	msb	treasure		
67200	m60_43_38	msb	treasure		
67210	m11_10	merchant	Twin Maiden Husks		
67210	m60_00_00	merchant	npc:?	4980	1
67210	m60_41_36	merchant	Nomadic Merchant		
67220	m11_00	merchant	npc:?		
67220	m11_10	merchant	Twin Maiden Husks		
67220	m35_00	merchant	npc:?		
67220	m60_38_41	merchant	Nomadic Merchant		
67220	m60_42_36	merchant	Merchant Kalé		
67230	m11_10	merchant	Twin Maiden Husks		
67230	m60_37_54	merchant	Nomadic Merchant		
67250	m60_35_54	msb	treasure		
67260	m60_51_36	msb	treasure		
67270	m11_10	merchant	Twin Maiden Husks		
67270	m12_02	merchant	Abandoned Merchant		
67280	m11_10	merchant	Twin Maiden Husks		
67280	m60_00_00	merchant	npc:?	4980	1
67280	m60_45_36	merchant	Nomadic Merchant		
67290	m11_10	merchant	Twin Maiden Husks		
67290	m12_01	merchant	Hermit Merchant		
67300	m12_02	msb	treasure		
67310	m60_51_36	msb	treasure		
67410	m60_38_40	msb	treasure		
67420	m14_00	msb	treasure		
67430	m30_00	msb	treasure		
67450	m60_38_41	msb	treasure		
67470	m11_10	merchant	Twin Maiden Husks		
67470	m60_35_50	merchant	Pidia, Carian Servant	1035509205	1
67480	m60_38_42	msb	treasure		
67600	m11_10	merchant	Twin Maiden Husks		
67600	m16_00	merchant	Patches	3686	1
67600	m22_00	merchant	Thiollier	2048439206	1
67600	m31_00	merchant	Patches	3686	1
67600	m60_37_42	merchant	Patches	3686	1
67600	m60_37_54	merchant	Patches	3686	1
67600	m60_39_54	merchant	Patches	3686	1
67610	m11_00	merchant	npc:?	4705	1
67610	m11_10	merchant	Twin Maiden Husks		
67610	m35_00	merchant	npc:?	4705	1
67610	m60_42_36	merchant	Merchant Kalé	4705	1
67630	m12_02	msb	treasure		
67640	m60_43_50	msb	treasure		
67650	m60_46_40	msb	treasure		
67830	m11_10	merchant	Twin Maiden Husks		
67830	m60_00_00	merchant	npc:?	4980	1
67830	m60_45_36	merchant	Nomadic Merchant		
67860	m30_13	msb	treasure		
67870	m60_46_40	msb	treasure		
67890	m12_01	msb	treasure		
67900	m11_10	merchant	Twin Maiden Husks		
67900	m60_49_37	merchant	Nomadic Merchant		
67910	m12_05	msb	treasure		
67920	m11_10	merchant	Twin Maiden Husks		
67920	m12_01	merchant	Hermit Merchant		
68010	m11_10	merchant	Twin Maiden Husks		
68010	m60_40_52	merchant	Nomadic Merchant		
68020	m13_00	msb	treasure		
68030	m60_48_36	msb	treasure		
68210	m11_10	merchant	Twin Maiden Husks		
68220	m11_10	merchant	Twin Maiden Husks		
68220	m60_35_45	merchant	Isolated Merchant		
68230	m11_10	merchant	Twin Maiden Husks		
68230	m60_51_56	merchant	Hermit Merchant		
68400	m60_38_48	msb	treasure		
68410	m35_00	msb	treasure		
68630	m61_49_43	msb	treasure		
68640	m61_44_46	msb	treasure		
68670	m61_50_41	msb	treasure		
68680	m61_45_48	msb	treasure		
68710	m61_47_39	msb	treasure		
68760	m61_48_37	msb	treasure		
68820	m61_49_43	msb	treasure		
68850	m61_49_38	msb	treasure		
68870	m61_48_38	msb	event		
68890	m61_48_46	msb	treasure		
68920	m61_49_38	msb	treasure		
68940	m61_46_38	msb	treasure		
68950	m61_47_35	msb	treasure		
69600	m11_10	merchant	Twin Maiden Husks		
69600	m60_48_41	merchant	Isolated Merchant		
69610	m11_10	merchant	Twin Maiden Husks		
69610	m60_40_52	merchant	Nomadic Merchant		
69620	m11_00	merchant	npc:?	4705	1
69620	m11_10	merchant	Twin Maiden Husks		
69620	m35_00	merchant	npc:?	4705	1
69620	m60_42_36	merchant	Merchant Kalé	4705	1
69630	m11_10	merchant	Twin Maiden Husks		
69630	m60_00_00	merchant	npc:?	4980	1
69630	m60_41_36	merchant	Nomadic Merchant		
69640	m11_00	merchant	npc:?		
69640	m11_10	merchant	Twin Maiden Husks		
69640	m35_00	merchant	npc:?		
69640	m60_41_32	merchant	Isolated Merchant		
69640	m60_42_36	merchant	Merchant Kalé		
69650	m11_10	merchant	Twin Maiden Husks		
69650	m60_40_52	merchant	Nomadic Merchant		
69670	m11_10	merchant	Twin Maiden Husks		
69670	m60_00_00	merchant	npc:?	4980	1
69670	m60_44_39	merchant	Nomadic Merchant		
69680	m11_10	merchant	Twin Maiden Husks		
69680	m60_44_33	merchant	Nomadic Merchant		
69690	m11_10	merchant	Twin Maiden Husks		
